Source,depth of cut (mm),cutting speed (m/menit),feed (mm/rev),tool nose radius (mm),workpiece hardness (brinell),Ra (mikrometer)
https://www.researchgate.net/profile/Pankaj-Gavali/publication/331035581_Experimental_Investigation_of_Material_Removal_Rate_and_Surface_Roughness_in_Turning_of_EN9_Alloy_steel_using_Taguchi_Method/links/5c6279b2a6fdccb608bbcbdc/Experimental-Investigation-of-Material-Removal-Rate-and-Surface-Roughness-in-Turning-of-EN9-Alloy-steel-using-Taguchi-Method.pdf,1.5,225,0.3,0.8,255,7.09
https://www.researchgate.net/profile/Pankaj-Gavali/publication/331035581_Experimental_Investigation_of_Material_Removal_Rate_and_Surface_Roughness_in_Turning_of_EN9_Alloy_steel_using_Taguchi_Method/links/5c6279b2a6fdccb608bbcbdc/Experimental-Investigation-of-Material-Removal-Rate-and-Surface-Roughness-in-Turning-of-EN9-Alloy-steel-using-Taguchi-Method.pdf,0.5,250,0.2,0.8,255,5.38
https://www.researchgate.net/profile/Pankaj-Gavali/publication/331035581_Experimental_Investigation_of_Material_Removal_Rate_and_Surface_Roughness_in_Turning_of_EN9_Alloy_steel_using_Taguchi_Method/links/5c6279b2a6fdccb608bbcbdc/Experimental-Investigation-of-Material-Removal-Rate-and-Surface-Roughness-in-Turning-of-EN9-Alloy-steel-using-Taguchi-Method.pdf,0.5,250,0.2,0.8,255,5.12
https://www.researchgate.net/profile/Pankaj-Gavali/publication/331035581_Experimental_Investigation_of_Material_Removal_Rate_and_Surface_Roughness_in_Turning_of_EN9_Alloy_steel_using_Taguchi_Method/links/5c6279b2a6fdccb608bbcbdc/Experimental-Investigation-of-Material-Removal-Rate-and-Surface-Roughness-in-Turning-of-EN9-Alloy-steel-using-Taguchi-Method.pdf,0.5,250,0.2,0.8,255,5.06
https://www.researchgate.net/profile/Pankaj-Gavali/publication/331035581_Experimental_Investigation_of_Material_Removal_Rate_and_Surface_Roughness_in_Turning_of_EN9_Alloy_steel_using_Taguchi_Method/links/5c6279b2a6fdccb608bbcbdc/Experimental-Investigation-of-Material-Removal-Rate-and-Surface-Roughness-in-Turning-of-EN9-Alloy-steel-using-Taguchi-Method.pdf,1,250,0.25,0.8,255,4.13
https://www.researchgate.net/profile/Pankaj-Gavali/publication/331035581_Experimental_Investigation_of_Material_Removal_Rate_and_Surface_Roughness_in_Turning_of_EN9_Alloy_steel_using_Taguchi_Method/links/5c6279b2a6fdccb608bbcbdc/Experimental-Investigation-of-Material-Removal-Rate-and-Surface-Roughness-in-Turning-of-EN9-Alloy-steel-using-Taguchi-Method.pdf,1,250,0.25,0.8,255,4.34
https://www.researchgate.net/profile/Pankaj-Gavali/publication/331035581_Experimental_Investigation_of_Material_Removal_Rate_and_Surface_Roughness_in_Turning_of_EN9_Alloy_steel_using_Taguchi_Method/links/5c6279b2a6fdccb608bbcbdc/Experimental-Investigation-of-Material-Removal-Rate-and-Surface-Roughness-in-Turning-of-EN9-Alloy-steel-using-Taguchi-Method.pdf,1,250,0.25,0.8,255,5.11
https://www.researchgate.net/profile/Pankaj-Gavali/publication/331035581_Experimental_Investigation_of_Material_Removal_Rate_and_Surface_Roughness_in_Turning_of_EN9_Alloy_steel_using_Taguchi_Method/links/5c6279b2a6fdccb608bbcbdc/Experimental-Investigation-of-Material-Removal-Rate-and-Surface-Roughness-in-Turning-of-EN9-Alloy-steel-using-Taguchi-Method.pdf,1.5,250,0.3,0.8,255,7.5
https://www.researchgate.net/profile/Pankaj-Gavali/publication/331035581_Experimental_Investigation_of_Material_Removal_Rate_and_Surface_Roughness_in_Turning_of_EN9_Alloy_steel_using_Taguchi_Method/links/5c6279b2a6fdccb608bbcbdc/Experimental-Investigation-of-Material-Removal-Rate-and-Surface-Roughness-in-Turning-of-EN9-Alloy-steel-using-Taguchi-Method.pdf,1.5,250,0.3,0.8,255,7.11
https://www.researchgate.net/profile/Pankaj-Gavali/publication/331035581_Experimental_Investigation_of_Material_Removal_Rate_and_Surface_Roughness_in_Turning_of_EN9_Alloy_steel_using_Taguchi_Method/links/5c6279b2a6fdccb608bbcbdc/Experimental-Investigation-of-Material-Removal-Rate-and-Surface-Roughness-in-Turning-of-EN9-Alloy-steel-using-Taguchi-Method.pdf,1.5,250,0.3,0.8,255,8.06
